rating,snippet,likes,rating_label,cleaned_snippet,review
3.0,"While I've reviewed this before, I decided to edit my response to my current opinion. The game is great, the graphics are stunning, and the stories are nice. However, it's very long and excessive. It makes it feel more like a chore. As you get more into the end game, getting rewards is a struggle, and farming and upgrading characters is more of a hassle than it should be. The resin (energy) cap should be upgraded, or costs of energy should be lowered. This game is very good, just time consuming.",88.0,positive,while ive reviewed this before i decided to edit my response to my current opinion the game is great the graphics are stunning and the stories are nice however its very long and excessive it makes it feel more like a chore as you get more into the end game getting rewards is a struggle and farming and upgrading characters is more of a hassle than it should be the resin energy cap should be upgraded or costs of energy should be lowered this game is very good just time consuming,
3.0,Very fun but I wish there was more fighting in the quests. It's just a bunch of talking and running around when it comes to the quests that just make me want to leave the game. It brings me in with the potential for awesome battles but then turns me off with all the dialogue that you can't skip. Has a lot of potential. At leave give us the ability to SKIP the dialogue.,35.0,positive,very fun but i wish there was more fighting in the quests its just a bunch of talking and running around when it comes to the quests that just make me want to leave the game it brings me in with the potential for awesome battles but then turns me off with all the dialogue that you cant skip has a lot of potential at leave give us the ability to skip the dialogue,
3.0,"Fun game, I enjoy the story. There is tons to do and tons of content to clear, so if you're bored, pick it up! The problem with it, however, is the long time between character reruns. It has been over a year since some characters are available and it is really killing enjoyment for a lot of people when they aren't able to get their favorites.",11.0,positive,fun game i enjoy the story there is tons to do and tons of content to clear so if youre bored pick it up the problem with it however is the long time between character reruns it has been over a year since some characters are available and it is really killing enjoyment for a lot of people when they arent able to get their favorites,
5.0,"This game is phenomenal. The art style and scenery are stunning. Yes, the game is long, but that's why it's fun. It takes you on several journeys and gives you memories worth remembering. The combat is fun as well, and the devs are working on storage control for those having issues with game size. I would ignore all those hateful/spam reviews as it's mostly just bots or people trying to ruin the joy for others.",77.0,positive,this game is phenomenal the art style and scenery are stunning yes the game is long but thats why its fun it takes you on several journeys and gives you memories worth remembering the combat is fun as well and the devs are working on storage control for those having issues with game size i would ignore all those hatefulspam reviews as its mostly just bots or people trying to ruin the joy for others,
2.0,"I love this game. However, it is incredibly laggy to the point where it's unplayable. I have all the graphics on the lowest setting, including the FPS, and yet it still somehow manages to crash. It isn't my storage because I have lots of it to the point where Genshin barely makes a dent in it, and it isn't my wifi because it runs smoothly for all the other apps. Please fix this and optimize it better for mobile players.",14.0,negative,i love this game however it is incredibly laggy to the point where its unplayable i have all the graphics on the lowest setting including the fps and yet it still somehow manages to crash it isnt my storage because i have lots of it to the point where genshin barely makes a dent in it and it isnt my wifi because it runs smoothly for all the other apps please fix this and optimize it better for mobile players,
3.0,I used to be obsessed with this game but I haven't played it in months because of how boring and repetitive the gameplay has gotten. The developers also don't care very much about player feedback and seem to pick and choose what feedback they use to incorporate into quality of life changes. Speaking of which it took them 4 years to implement some QoL changes that have been requested for years. A shame but Genshin Impact's dev team needs to do better.,99.0,positive,i used to be obsessed with this game but i havent played it in months because of how boring and repetitive the gameplay has gotten the developers also dont care very much about player feedback and seem to pick and choose what feedback they use to incorporate into quality of life changes speaking of which it took them years to implement some qol changes that have been requested for years a shame but genshin impacts dev team needs to do better,
5.0,"Highly recommend. I have been playing the game since last year (2023) and have been very impressed with the mechanics and captivated by the storyline. Constant updates keep the game interesting and ensure that the player stays engaged. Lore is impressive. Graphics are great during gameplay, and ABSOLUTELY AWESOME during cutscenes, especially since 5.0 update. Very very impressed. Have reccomended to many of my friends and all have enjoyed and are still playing the game till this day.",65.0,positive,highly recommend i have been playing the game since last year and have been very impressed with the mechanics and captivated by the storyline constant updates keep the game interesting and ensure that the player stays engaged lore is impressive graphics are great during gameplay and absolutely awesome during cutscenes especially since update very very impressed have reccomended to many of my friends and all have enjoyed and are still playing the game till this day,
4.0,"Hello! I absolutely love this game! It has incredible graphics and is a ton of fun to play. But, lately, whenever I try to open it, it says that the game has a bug and kicks me out before I even get to the loading screen. It says the developer needs to fix the issue before the game can be opened. Please fix this issue! I love you game, I always look forward to playing at the end of my day. Thank you!",29.0,positive,hello i absolutely love this game it has incredible graphics and is a ton of fun to play but lately whenever i try to open it it says that the game has a bug and kicks me out before i even get to the loading screen it says the developer needs to fix the issue before the game can be opened please fix this issue i love you game i always look forward to playing at the end of my day thank you,
4.0,"I've been playing this game since January 16th, 2022. I have no real complaints.. The style is nice, not TOO much fan service, The characters are all interesting in their own ways, and there's soooooo much more that's gonna be added to the game not making it boring!! I have an OLD phone (Samsung Galaxy s10e) and it still runs smoothly, sometimes it'll glitch but not as bad as my pc since my pc was running on it's last bits of life... It exploded while I was playing this game... 😞",64.0,positive,ive been playing this game since january th i have no real complaints the style is nice not too much fan service the characters are all interesting in their own ways and theres soooooo much more thats gonna be added to the game not making it boring i have an old phone samsung galaxy se and it still runs smoothly sometimes itll glitch but not as bad as my pc since my pc was running on its last bits of life it exploded while i was playing this game,
1.0,"Uninteresting characters, uninteresting dialog, a story with potential that isn't told very well. It has been 5 years and the games story isn't complete, I would have rather they not relesed it until there was more.It gets boring very quickly, usually in other open world adventures games, I find myself exploring the gorgeous open world for hours, engrossed in the story and, enjoying well written characters, yet this game can deliver in none of those things.",14.0,negative,uninteresting characters uninteresting dialog a story with potential that isnt told very well it has been years and the games story isnt complete i would have rather they not relesed it until there was moreit gets boring very quickly usually in other open world adventures games i find myself exploring the gorgeous open world for hours engrossed in the story and enjoying well written characters yet this game can deliver in none of those things,
