rating,likes,response,rating_label,cleaned_snippet
3.0,88,,negative,review decide edit response current opinion game great graphic stunning story nice long excessive make feel like chore end game get reward struggle farming upgrade character hassle resin energy cap upgrade cost energy lower game good time consume
3.0,35,,negative,fun wish fighting quest bunch talk run come quest want leave game bring potential awesome battle turn dialogue skip lot potential leave ability skip dialogue
3.0,11,,negative,fun game enjoy story ton ton content clear bored pick problem long time character rerun year character available kill enjoyment lot people able favorite
5.0,77,,positive,game phenomenal art style scenery stunning yes game long fun take journey give memory worth remember combat fun devs work storage control have issue game size ignore hateful spam review bot people try ruin joy
2.0,14,,negative,love game incredibly laggy point unplayable graphic low setting include fps manage crash storage lot point genshin barely make dent wifi run smoothly app fix optimize well mobile player
3.0,99,,negative,obsess game play month boring repetitive gameplay get developer care player feedback pick choose feedback use incorporate quality life change speak take year implement qol change request year shame genshin impact dev team need well
5.0,65,,positive,highly recommend play game year impressed mechanic captivate storyline constant update game interesting ensure player stay engaged lore impressive graphic great gameplay absolutely awesome cutscene especially update impressed reccomende friend enjoy play game till day
4.0,29,,positive,hello absolutely love game incredible graphic ton fun play lately try open say game bug kick loading screen say developer need fix issue game open fix issue love game look forward play end day thank
4.0,64,,positive,play game january real complaint style nice fan service character interesting way soooooo go to add game make boring old phone samsung galaxy run smoothly glitch bad pc pc run bit life explode play game
1.0,14,,negative,unintereste character uninteresting dialog story potential tell year game story complete relese get boring quickly usually open world adventure game find explore gorgeous open world hour engross story enjoy write character game deliver thing
4.0,110,,positive,amazing game beautiful character design amazing say recent issue game crashing think crash crash wander middle dialog right complete domain force redo compatibility mode run smooth help crash
5.0,644,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'Thank you for supporting Genshin Impact, Traveler! If you have any issues with your game experience, please send us an email or contact Customer Service for help via in-game feedback.', 'date': 'November 28, 2023', 'iso_date': '2023-11-28T11:35:08Z'}",positive,love game couple issue take sooooo space phone hard character storyline one amazing game definitely recommend edit ok get new character friend teach use wish system hehe get geo archon quest fontaine beautiful city wait new update thing mobile glitchy understand
5.0,665,,positive,initially star review long review anymore good faith love art style game music amazing world beautiful month ago finish main story new patch update drop main story finish quickly character story quest game get stagnet thing ask hsr instead personally annoying love
5.0,432,,positive,mobile phone game play start play honestly fun game long time glad get support external storage device allow external memory stick insert thr game optimize feature graphic section game option menu analyze device automatically adjust game run smoothly possible say device nice
3.0,212,,negative,play sep game beautiful love different nation character design undtrack tier enjoy world exploration puzzle battle difficult leave review current state game leave pretty disappointed frustrated late game content dull monotonous tedious call reward insulting measly plain stingy gatcha game well
5.0,412,,positive,awesome game main story quest extremely write immersive country design enjoyable puzzle unlock reward elemental fighting system unique fun exception character beautifully design fairly easy resource obtain highly recommend
5.0,337,,positive,game long certain quest like rollercoaster high lot quest low hard get high level definitely cost money want wish character special weapon purchase special item use lot memory get sluggish memory later build character correctly difficult time repetitive farming battle
5.0,1301,,positive,play game year little release pretty fun like aspect game like lore gameplay character overtime feel like event story get boring repetitive especially recently get disappoint new character design like emilie natlan character sethos feel special old one end game experience great
3.0,11,,negative,feel like game lot fun use eat battery storage wifi load lot time understand big game need lot resource function crash single time ridiculous time actually able play amazing seriously think give genshin
4.0,434,,positive,lot massive open world variety character elemental power multiple weapon include mage long term game downside insanely difficult artifact equip character stat look plus single run farm different type artifact instead make hard spend lot resin energy barely exactly want build single character developer improve
1.0,1282,,negative,like game early game story fun like old character ton issue player continue bring fall deaf ear later game play scale exp random bad guy run map world level increase difficult level character later gameplay random bug thing refuse fix needle will download
3.0,14,,negative,star dock personal opinion people review address poor recent character design slow story wish option let pick commission want reach max reputation nation annoying try certain one unlock sort storyline achievement cool interact commission board pick
4.0,0,,positive,pretty good game good graphic cool design character nice storyline voice act freely explore game high ar get boring try like permanent mini game great game
3.0,256,,negative,great game enjoy lot try come love explore accomplish quest come exploring thing notice recently completely change thought game experience try sign tend laggy crash time thing want point fact not fun update attention game
5.0,170,,positive,genshin impact visually satisfying beautiful game control simple cross platform experience seamless play console home laptop travel pick leave phone spend dime want story immersive evolve new character adventure constantly add impressed aspect genshin impact recommend
4.0,115,,positive,love genshin character story exploration fun resin cap annoying ftp make build character time long hard sice genshin big make hard storage issue get bad delete past datum genshin beautiful game fix lot issue yay hate storge
2.0,41,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'Hello Traveler! Please go to the official Genshin Impact website to refer to information on system requirements for a more stable and smooth gaming experience. Meanwhile, to further locate the cause of the issue, please contact the Customer Service team via the in-game feedback channel or email.', 'date': 'October 24, 2022', 'iso_date': '2022-10-24T12:53:15Z'}",negative,strong mobile android fps lag overlaps move hear audio get severe aggravating deal play time turn completely unplayable edit review new update natlan game take minute load cutscene walk inch crash game entirely low graphic setting issue update
5.0,1280,,positive,see add youtuber sponsor yard tell day play game actually pretty good definitely fill need upgrade slowly strong equipment character mistake have high level enemy possibly fight near beginning common mistake game ease slowly introduce game mechanic hook
1.0,1348,,negative,gameplay play great character neat open world exploration fun force sit second dialogue frustrating interesting like able skip dialogue have sit lastly make easy level exist character constellation wish great new character will use hard level exist character
3.0,75,,negative,great game aspect terrible term imagine breath wild well graphic well lore storyline arguably well character world design character remotely challenge game spiral abyss complete story game rinse repeat daily day resin grind event terrible feel like mini game game barely utilize character
3.0,27,,negative,great character storyline task honestly game need permanent feature like windteace offer fun actually game daily grind stuff farming questing boring progress character game hoyo permanent friendly competition game waiting game event come
5.0,94,,positive,play half year assure good pretty fun game type game play minute go to spend hour notice long figure thing need bit googling plentiful guide advice lot story dialogue mood appreciate skip button enjoy
5.0,82,,positive,start couple year ago feel like breath wild clone huge world climbing gliding good fast reactive control fun combat impressed free keep increase size world enhance ui add story add cool character new ability reason explore story voice act actually good start damn good get well free amazing
5.0,167,,positive,absolutely love game graphic story exploration character fun good variety mechanic use find fun building character problem nice reroll option artifact sub stat artifact farming well primogem reward currency weapon character wish event chest bit reward
5.0,57,,positive,love play genshin phone currently open game play shut loading screen show hoyoverse screen immediately shut phone say s bug will let open game developer fix bug samsung galaxy gb pretty sure wrong phone try delete redownloade work
5.0,264,,positive,story line combat quest scenery exploration truly amazing way get bored play thing game notice archon quest character voice line make story boring wish possible way actually play traveler like event overall amazing game
5.0,49,,positive,wonderful experience virtual reality real life love game awesome gameplay storyline character lot good play friend new friend event wild like dendro archon event wish event like bad quest hard new player like unable co op month
5.0,11,,positive,beginner genshin impact rlly rlly fascinating breath taking adventure graphic rlly smooth apart advantage game take lot space gb lot theory item need understand properly difficult play game rule knowledge power make sense overall star error problem bonus character design humor story strike
5.0,115,,positive,love game quest interesting lot interesting caracter issue firstly take lot space secondly take lot time loading recently dialogue caracter mute exept paimon solve issue nice reward like honkai star rail recomend game start play game go quit
3.0,5,,negative,game beautiful devs lower draw distance explore low resolution polygon place holder right object building look like toy block mountain look like belong game grass tree rock pop map disappointing compare play version galaxy ultra
5.0,78,,positive,love game especially experience explore new territory meet expectation player climb expectation treasure chest teleportation feel satisfying beautiful scenery pattern game feel consistent downside quest bug action button character disappear
4.0,97,,positive,like genshin impact storyline amazing love character design different play style rate star unfortunately lot character mute silence feel loud quest voice character feel right eng voice actor
1.0,13,,negative,game randomly decide turn datum gameplay sure explain playtime data connection suddenly claim service pull game home screen signal happen open game live place datum signal strong possible wifi fine datum problem
5.0,83,,positive,game big flaw long take character pr weapon rerun resin respawn rate have character aside game amazing storyline enjoyable character different story quest event incredible music super fun gameplay mechanic world building astonishing scenery overall tell effort love passion experience real journey enjoy
4.0,19,,positive,game great story lot quest end game content hard play phone know character icon r small make hard press hit enemy joystick reset thumb tell thumb play year pro great story quest con end game hard play icon r small joystick thumb
3.0,10,,negative,overall fun game good story arc good character world design interesting combat system elemental reaction easy spend month theory craft team composition skill battle system rate higher not provide game feature android certain option like controller support available io android
3.0,3,,negative,game amazing fact character voice like kinich ruin gaming experience feel like complete archon quest alot dialogue begin weird ruin game like lore love genshin
